Zip,City,State,2018-11
37128,Murfreesboro,TN,279900.0
32225,Jacksonville,FL,261000.0
95687,Vacaville,CA,422450.0
27284,Kernersville,NC,239000.0
63123,Affton,MO,155000.0
40601,Frankfort,KY,161200.0
85251,Scottsdale,AZ,379000.0
60622,Chicago,IL,526250.0
42101,Bowling Green,KY,178700.0
93536,Lancaster,CA,360000.0
78501,McAllen,TX,188500.0
93550,Palmdale,CA,279000.0
23223,Richmond,VA,184950.0
33319,Lauderhill,FL,109000.0
21215,Baltimore,MD,89950.0
11208,New York,NY,565000.0
73160,Moore,OK,179900.0
77007,Houston,TX,449900.0
94509,Antioch,CA,400000.0
98115,Seattle,WA,777000.0
77057,Houston,TX,292250.0
32828,Orlando,FL,300000.0
89123,Las Vegas,NV,325000.0
07087,Union City,NJ,429000.0
60615,Chicago,IL,235000.0
30135,Douglasville,GA,214200.0
45601,Chillicothe,OH,127500.0
27703,Durham,NC,295000.0
23451,Virginia Beach,VA,478000.0
14221,Amherst,NY,242000.0
19446,Lansdale,PA,322500.0
98682,Vancouver,WA,385700.0
76116,Fort Worth,TX,271950.0
89031,North Las Vegas,NV,274900.0
21122,Pasadena,MD,325900.0
93306,Bakersfield,CA,229999.0
0956,Bayamon,AL,92000.0
11225,New York,NY,705000.0
78249,San Antonio,TX,251900.0
33321,Tamarac,FL,215000.0
95758,Elk Grove,CA,398999.0
37064,Franklin,TN,590237.5
60641,Chicago,IL,333250.0
75043,Garland,TX,214945.0
02301,Brockton,MA,289900.0
14580,Webster,NY,244950.0
60453,Oak Lawn,IL,197100.0
19020,Bensalem,PA,279950.0
60660,Chicago,IL,245000.0
19720,New Castle,DE,189900.0
27707,Durham,NC,299000.0
66061,Olathe,KS,379900.0
19120,Philadelphia,PA,106500.0
31419,Savannah,GA,185000.0
29445,Goose Creek,SC,209900.0
93274,Tulare,CA,245900.0
33467,Greenacres,FL,327000.0
93307,Bakersfield,CA,195000.0
95035,Milpitas,CA,995000.0
77521,Baytown,TX,209900.0
21222,Dundalk,MD,149900.0
85282,Tempe,AZ,284000.0
22204,Arlington,VA,427000.0
20874,Germantown,MD,299900.0
93309,Bakersfield,CA,223950.0
93230,Hanford,CA,269900.0
37122,Mount Juliet,TN,389900.0
75002,Allen,TX,359900.0
92630,Lake Forest,CA,732305.5
94541,Hayward,CA,630000.0
46143,Greenwood,IN,245995.0
60056,Mount Prospect,IL,304500.0
29223,Columbia,SC,189000.0
90802,Long Beach,CA,449950.0
