lat,lng,median_home_value,median_household_income,occupied_housing_units,population,Zip,City,State,Median_Home_Value_Z,Top_Tier_Median_Home_Value,Bottom_Tier_Median_Home_Value
40.7,-73.88,495800.0,50799.0,34843.0,98592.0,11385,New York,NY,697000.0,739000.0,0.0
39.66,-104.77,192800.0,67857.0,24791.0,69588.0,80013,Aurora,CO,345000.0,0.0,299950.0
29.53,-95.52,205500.0,104547.0,18482.0,56274.0,77459,Missouri City,TX,339900.0,384800.0,0.0
26.03,-80.24,160900.0,50417.0,22276.0,63916.0,33024,Pembroke Pines,FL,290000.0,558635.0,163500.0
33.95,-117.73,476200.0,96497.0,22940.0,74796.0,91709,Chino Hills,CA,699994.0,748800.0,0.0
39.9,-83.1,150500.0,60863.0,22333.0,58424.0,43123,Grove City,OH,219900.0,302300.0,119900.0
39.09,-77.06,311700.0,72354.0,24081.0,64696.0,20906,Silver Spring,MD,359900.0,0.0,218700.0
34.0,-118.43,727800.0,66744.0,23985.0,55277.0,90066,Los Angeles,CA,1399000.0,1525000.0,0.0
26.2,-98.2,71100.0,32054.0,19814.0,70840.0,78577,Pharr,TX,155950.0,0.0,0.0
47.84,-122.2,350000.0,88283.0,19448.0,51136.0,98012,Bothell,WA,582450.0,749995.0,325000.0
32.5,-97.3,136800.0,69676.0,21181.0,59744.0,76028,Burleson,TX,259949.5,384950.0,165450.0
42.4,-76.5,209800.0,46331.0,24786.0,63886.0,14850,Ithaca,NY,299000.0,419000.0,0.0
28.5,-81.6,207600.0,55875.0,16075.0,46083.0,34787,Winter Garden,FL,388990.0,421990.0,0.0
26.5,-81.9,183200.0,52268.0,18920.0,38251.0,33908,Fort Myers,FL,286250.0,499999.0,154900.0
42.43,-71.05,325800.0,53798.0,23701.0,59503.0,02148,Malden,MA,399900.0,0.0,0.0
37.17,-93.33,117200.0,37009.0,23193.0,54952.0,65807,Springfield,MO,139000.0,245000.0,99900.0
28.12,-82.35,249000.0,72131.0,20585.0,55034.0,33647,Tampa,FL,314690.0,374900.0,122200.0
32.57,-97.13,179600.0,92052.0,19956.0,61361.0,76063,Mansfield,TX,324950.0,399500.0,0.0
41.1,-81.9,198400.0,71378.0,23331.0,62039.0,44256,Medina,OH,259900.0,299900.0,0.0
31.8,-106.1,127800.0,52119.0,14131.0,53520.0,79938,El Paso,TX,171200.0,190000.0,0.0
41.74,-87.66,138800.0,31753.0,26058.0,72216.0,60620,Chicago,IL,127700.0,0.0,90250.0
38.47,-121.44,144100.0,37931.0,22470.0,73985.0,95823,Sacramento,CA,279000.0,0.0,275000.0
40.87,-73.9,171200.0,33776.0,24909.0,76103.0,10468,New York,NY,204500.0,0.0,0.0
33.53,-117.71,662200.0,99101.0,24425.0,63297.0,92677,Laguna Niguel,CA,839000.0,1281000.0,420000.0
34.2,-84.2,236800.0,81378.0,18751.0,54653.0,30040,Cumming,GA,385450.0,420900.0,0.0
33.07,-96.9,167500.0,79251.0,16999.0,47852.0,75056,The Colony,TX,420311.0,463990.0,0.0
25.99,-80.15,133200.0,33157.0,19456.0,39341.0,33009,Hallandale,FL,274499.0,541950.0,164900.0
39.4,-84.5,178400.0,60757.0,23732.0,69677.0,45011,Hamilton,OH,264900.0,355000.0,74700.0
41.06,-73.54,437300.0,63582.0,23502.0,63406.0,06902,Stamford,CT,549950.0,939900.0,199250.0
36.12,-79.89,201600.0,60097.0,23406.0,52388.0,27410,Greensboro,NC,239000.0,279000.0,0.0
36.12,-115.09,110200.0,40836.0,25373.0,64096.0,89121,Las Vegas,NV,240000.0,449999.0,179000.0
40.78,-73.95,1000001.0,104638.0,25158.0,45141.0,10028,New York,NY,1795000.0,2172500.0,0.0
34.4,-117.3,145200.0,42421.0,23542.0,78715.0,92345,Hesperia,CA,275000.0,0.0,245700.0
33.82,-117.98,362600.0,53293.0,24363.0,85914.0,92804,Anaheim,CA,589450.0,0.0,399000.0
40.72,-74.05,474200.0,98952.0,17992.0,36352.0,07302,Jersey City,NJ,799000.0,925000.0,0.0
38.9,-92.4,197800.0,56313.0,22351.0,53307.0,65203,Columbia,MO,269900.0,335000.0,88000.0
36.0,-78.6,258300.0,81287.0,18602.0,53078.0,27587,Wake Forest,NC,359900.0,449999.0,175000.0
40.5,-87.0,165300.0,36101.0,22671.0,66972.0,47906,West Lafayette,IN,225500.0,284900.0,0.0
39.99,-74.16,294000.0,76202.0,23580.0,63678.0,08753,Toms River,NJ,286450.0,779000.0,235000.0
34.15,-117.46,283700.0,87116.0,22223.0,88419.0,92336,Fontana,CA,468944.0,500000.0,0.0
32.91,-117.14,378400.0,81505.0,22978.0,73343.0,92126,San Diego,CA,590000.0,0.0,369000.0
41.95,-87.81,239200.0,55767.0,25712.0,74298.0,60634,Chicago,IL,288500.0,359950.0,0.0
34.12,-84.45,171200.0,69186.0,19627.0,52380.0,30188,Woodstock,GA,350000.0,424550.0,0.0
41.4,-87.3,187000.0,69071.0,21983.0,60619.0,46307,Crown Point,IN,249900.0,394500.0,149850.0
32.83,-96.68,105300.0,36274.0,23546.0,66551.0,75228,Dallas,TX,245000.0,365500.0,168700.0
36.0,-79.8,124100.0,37548.0,22367.0,56458.0,27406,Greensboro,NC,129945.0,258885.0,0.0
47.67,-122.34,478200.0,75763.0,22724.0,45911.0,98103,Seattle,WA,725000.0,867249.5,0.0
29.74,-95.74,191900.0,100957.0,24417.0,71889.0,77450,Cinco Ranch,TX,285000.0,369900.0,0.0
46.5,-118.7,162600.0,56098.0,20738.0,68191.0,99301,Pasco,WA,299900.0,392400.0,207500.0
30.5,-96.3,189500.0,70400.0,18151.0,48938.0,77845,College Station,TX,277450.0,381600.0,0.0
38.95,-77.02,376900.0,54488.0,23035.0,58536.0,20011,Washington,DC,619890.0,724500.0,0.0
34.97,-81.08,159700.0,56825.0,21470.0,53781.0,29732,Rock Hill,SC,241400.0,379900.0,119900.0
34.05,-118.34,617300.0,42043.0,23344.0,64458.0,90019,Los Angeles,CA,1149000.0,1277450.0,0.0
42.05,-87.89,217900.0,59533.0,23605.0,59690.0,60016,Des Plaines,IL,249950.0,350000.0,127250.0
39.7,-82.6,134600.0,43234.0,23250.0,59570.0,43130,Lancaster,OH,159900.0,0.0,100000.0
32.93,-97.28,174300.0,93705.0,19194.0,60388.0,76244,Fort Worth,TX,275000.0,374500.0,0.0
35.07,-79.02,127000.0,49011.0,21844.0,54520.0,28314,Fayetteville,NC,119000.0,218200.0,62750.0
35.7,-78.5,144900.0,43520.0,22037.0,65648.0,27610,Raleigh,NC,203000.0,452450.0,168000.0
29.91,-95.64,167000.0,89393.0,22922.0,66502.0,77095,Houston,TX,235000.0,319950.0,0.0
35.1,-106.8,189900.0,62544.0,22480.0,58023.0,87120,Albuquerque,NM,228500.0,333990.0,152500.0
33.9,-117.45,222500.0,56373.0,23413.0,84519.0,92503,Riverside,CA,439000.0,595000.0,0.0
40.68,-73.92,551900.0,34492.0,25693.0,67053.0,11233,New York,NY,605000.0,0.0,0.0
32.6,-117.04,294900.0,48111.0,24622.0,82999.0,91911,Chula Vista,CA,480000.0,0.0,410000.0
39.6,-77.7,171200.0,42979.0,23317.0,61859.0,21740,Hagerstown,MD,169900.0,0.0,0.0
37.57,-121.99,548600.0,87001.0,23868.0,68790.0,94536,Fremont,CA,925000.0,0.0,575000.0
33.79,-84.44,174800.0,39421.0,19812.0,49736.0,30318,Atlanta,GA,330000.0,509950.0,0.0
37.8,-84.3,152500.0,41654.0,21736.0,55803.0,40475,Richmond,KY,182250.0,0.0,0.0
40.67,-74.11,332700.0,55608.0,25240.0,63031.0,07002,Bayonne,NJ,399000.0,0.0,269000.0
33.94,-118.19,292100.0,42776.0,23278.0,94396.0,90280,South Gate,CA,443500.0,0.0,434900.0
35.4,-80.9,246500.0,83519.0,19405.0,52133.0,28078,Huntersville,NC,336950.0,379900.0,0.0
36.76,-76.2,248000.0,69475.0,20719.0,51797.0,23320,Chesapeake,VA,299900.0,424205.0,154900.0
40.03,-82.87,168600.0,65785.0,21275.0,51161.0,43230,Gahanna,OH,210000.0,331400.0,0.0
38.62,-77.27,247200.0,79198.0,18901.0,57598.0,22191,Woodbridge,VA,336950.0,0.0,284950.0
36.14,-115.28,225400.0,54556.0,23699.0,55416.0,89117,Las Vegas,NV,372000.0,545000.0,160000.0
