"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"92411","San Bernardino","CA","Riverside-San Bernardino-Ontario","San Bernardino County",2486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,129900,133125,132500,129900,139450,139900,142000,143500,147450,155000,145000,152499.5,155000,154900,150000,152500,159999,157450,159900,159999,165000,165000,169000,170000,169750,169999,165000,169450,167000,174900,185000,185000,189000,189000,189000,192450,195000,199900,199900,199900,204326,200300,199900,199000,200221,210000,214999,220000,220000,225000,224000,225000,225000,225000,225000,234999.5,239900,239999,239949.5,245000,247000,245000,242500
"18013","Washington","PA","Allentown-Bethlehem-Easton","Northampton County",2488,103900,114999.5,129900,119000,113000,109900,112400,109900,109900,119900,119900,115000,109900,104250,99900,99900,99900,99950,99900,99900,94950,95700,93000,89900,89900,93950,89000,89450,92450,95000,96950,95400,89900,87000,86950,84900,84900,77400,89900,80000,89900,84900,85000,84900,85000,89900,89900,94450,84900,84900,84900,84950,85000,89900,89900,89900,89900,89900,86450,80000,84950,91000,89900,88500,86460,88500,87900,86950,77000,78500,79450,77000,79900,86400,87400,88950,94950,94900,92450,94900,95950,99900,99900,98200,99900,99900,99900,99277,93000,92450,99000,99900,104000,99900,99900,107156,112250,108770,108000,115900,119450,118150,124900,124900,124900,119002,119900
"63601","Park Hills","MO","Farmington","Saint Francois County",2489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36900,34900,39900,39900,43250,44700,44900,41450,37500,37200,38250,39700,39500,41000,39900,39700,36450,39900,40000,44200,42700,44950,45000,45000,44000,42280,44900,43950,41151.5,43000,39900,43500,44000,49900,47445,44900,42500,45000,44200,49900,46250,42900,46250,46250,48750,53250,51250,54000,56900,55050,54900,51249.5,49900,47000,49500,44900,45900,49500,49500,44900,52900,54900,54900,53950,49900,49900,55000,55000,56450,59500,59700
"14615","Rochester","NY","Rochester","Monroe County",2490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69900,64900,54999,60000,69900,69900,69900,72900,72900,71400,73800,73350,67450,64900,64950,64950,66250,66250,69900,69900,69900,69900,74000,71900,74000,74900,79900,79900,79500,77500,79500,79500,79900
"53115","Delavan","WI","Whitewater-Elkhorn","Walworth County",2491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107450,110000,109950,105000,104000,99900,98950,102450,102450,99900,109900,109900,109900,102400,111400,108900,109900,102450,99900,99900,99900,110500,112700,109900,115000,108000,115000,114000,115000,116000,115500,121950,116750,119450,113700,119900,111950,114900,119500,119900,125950,124900,124900,124900,127900,129900,129900,129900,125000,125000,127400,127400,130000
"45410","Dayton","OH","Dayton","Montgomery County",2492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46000,45950,44500,44000,41750,39900,39900,39900,39900,44900,45000,45000,44950,40000,45000,49950,49000,49500,50000,49900,50000,49900,49950,54900,54900,56000,54900,52750,52200,49500,49700,49947.5,51200,54900,54900,55000,55000,59900,62250,65000,62500,60000
"48342","Pontiac","MI","Detroit-Warren-Dearborn","Oakland County",2493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47900,45000,44950,44890,48900,47987.5,49449.5,45000,48000,47900,47900,49950,52900,48000,48000,50000,50000,51900,52800
"06385","Waterford","CT","Norwich-New London","New London County",2494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154900,154700,152900,151000,149000,147500,144450,144450,139900,148000,139900,123000,142450,155000,157000,149900,149900,143750,139990,142500,147500,148700,146900,159000,152400,158000,154800,154800
"82716","Gillette","WY","Gillette","Campbell County",2495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195000,189900,194950,194950,187450,184587.5,189900,179900,176000,181250,179000,179000,179000,179000,169900,169900,171200,173700,169900,169950,170950,166500,170000,170000,167750,165750,164900,166750,170000,166500,164500,164900,164900,169700,169700,164900,164900,178950,186000,179900,187700,182900
"63074","Saint Ann","MO","St. Louis","Saint Louis County",2496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68700,69900,72150,72250,69900,69900,69900,69900,69900,67000,62700,59900,67250,69500,69900,69250,69000,69900,69900,69000,69900,68000,65975,66975,68000,69400,68750,69250,72500,71200,70950,70000,69900,73500,74000,71000,69900,72400,70500,70000,74500,72700,74500,74500,70000,71950,71900,77900,79900,84500,84700,84500,79900,80000,79950
